component_id,sum_of_max_gross_load_mw,max_of_sum_gross_load_mw,max_ramp,min_ramp,idxmax_ramp,idxmin_ramp,max_abs_ramp,idxmax_abs_ramp,EIA_UNIT_TYPE,capacity_CAMD,capacity_EIA,simple_CAMD_FUEL_TYPE_via_capacity,simple_EIA_FUEL_TYPE_via_capacity,simple_EIA_UNIT_TYPE,ramp_factor_CAMD,ramp_factor_EIA,ramp_factor_sum_max,ramp_factor_max_sum
0,101.0,101.0,41.0,-54.0,2019-07-17 15:00:00+00:00,2019-05-24 23:00:00+00:00,54.0,2019-05-24 23:00:00+00:00,"('ST',)",153.1,153.1,gas,gas,steam_turbine,0.3527106466361855,0.3527106466361855,0.5346534653465347,0.5346534653465347
1,84.0,84.0,42.0,-74.0,2015-05-14 12:00:00+00:00,2019-05-23 22:00:00+00:00,74.0,2019-05-23 22:00:00+00:00,"('ST',)",153.1,153.1,gas,gas,steam_turbine,0.48334421946440237,0.48334421946440237,0.8809523809523809,0.8809523809523809
2,257.0,257.0,99.0,-126.0,2015-03-24 12:00:00+00:00,2015-02-13 11:00:00+00:00,126.0,2015-02-13 11:00:00+00:00,"('ST',)",272.0,272.0,,coal,steam_turbine,0.4632352941176471,0.4632352941176471,0.490272373540856,0.490272373540856
3,389.0,389.0,187.0,-205.0,2018-06-22 19:00:00+00:00,2017-11-29 19:00:00+00:00,205.0,2017-11-29 19:00:00+00:00,"('ST',)",403.8,403.7,coal,coal,steam_turbine,0.5076770678553739,0.5078028238791181,0.5269922879177378,0.5269922879177378
4,867.0,867.0,349.0,-327.0,2017-09-13 14:00:00+00:00,2016-09-20 01:00:00+00:00,349.0,2017-09-13 14:00:00+00:00,"('ST',)",788.8,788.8,coal,coal,steam_turbine,0.44244421906693715,0.44244421906693715,0.40253748558246827,0.40253748558246827
5,626.0,605.0,228.0,-237.0,2015-12-01 16:00:00+00:00,2016-07-15 07:00:00+00:00,237.0,2016-07-15 07:00:00+00:00,"('CA', 'CT')",361.9,535.4,gas,gas,combined_cycle,0.6548770378557613,0.44265969368696306,0.37859424920127793,0.39173553719008264
6,618.0,603.0,342.0,-470.0,2018-03-24 14:00:00+00:00,2018-03-24 13:00:00+00:00,470.0,2018-03-24 13:00:00+00:00,"('CA', 'CT')",361.9,535.4,gas,gas,combined_cycle,1.2987012987012987,0.8778483376914457,0.7605177993527508,0.7794361525704809
7,0.0,0.0,0.0,0.0,2015-01-01 07:00:00+00:00,2015-01-01 07:00:00+00:00,0.0,2015-01-01 07:00:00+00:00,"('ST',)",69.0,69.0,gas,gas,steam_turbine,0.0,0.0,,
8,0.0,0.0,0.0,0.0,2015-01-01 07:00:00+00:00,2015-01-01 07:00:00+00:00,0.0,2015-01-01 07:00:00+00:00,"('ST',)",69.0,69.0,gas,gas,steam_turbine,0.0,0.0,,
9,837.0,837.0,231.0,-680.0,2017-06-19 15:00:00+00:00,2017-03-27 20:00:00+00:00,680.0,2017-03-27 20:00:00+00:00,"('ST',)",788.8,788.8,coal,coal,steam_turbine,0.8620689655172414,0.8620689655172414,0.8124253285543608,0.8124253285543608
10,106.0,106.0,24.0,-23.0,2015-02-24 12:00:00+00:00,2015-02-24 02:00:00+00:00,24.0,2015-02-24 12:00:00+00:00,"('ST',)",125.0,125.0,,coal,steam_turbine,0.192,0.192,0.22641509433962265,0.22641509433962265
11,107.0,107.0,25.0,-28.0,2015-02-18 07:00:00+00:00,2015-02-26 17:00:00+00:00,28.0,2015-02-26 17:00:00+00:00,"('ST',)",125.0,125.0,,coal,steam_turbine,0.224,0.224,0.2616822429906542,0.2616822429906542
12,174.0,174.0,71.0,-96.0,2016-11-03 09:00:00+00:00,2016-03-16 13:00:00+00:00,96.0,2016-03-16 13:00:00+00:00,"('ST',)",187.5,187.5,coal,coal,steam_turbine,0.512,0.512,0.5517241379310345,0.5517241379310345
13,185.0,185.0,90.0,-81.0,2015-05-14 14:00:00+00:00,2015-07-25 02:00:00+00:00,90.0,2015-05-14 14:00:00+00:00,"('ST',)",190.4,190.4,coal,coal,steam_turbine,0.4726890756302521,0.4726890756302521,0.4864864864864865,0.4864864864864865
14,275.0,275.0,179.0,-262.0,2016-09-06 17:00:00+00:00,2016-06-06 23:00:00+00:00,262.0,2016-06-06 23:00:00+00:00,"('ST',)",299.2,299.2,gas,gas,steam_turbine,0.875668449197861,0.875668449197861,0.9527272727272728,0.9527272727272728
15,272.0,272.0,244.0,-263.0,2019-08-12 14:00:00+00:00,2016-09-09 17:00:00+00:00,263.0,2016-09-09 17:00:00+00:00,"('ST',)",269.3,269.2,gas,gas,steam_turbine,0.9766060155959896,0.9769687964338782,0.9669117647058824,0.9669117647058824
16,96.0,96.0,90.0,-71.0,2016-12-19 13:00:00+00:00,2016-05-26 23:00:00+00:00,90.0,2016-12-19 13:00:00+00:00,"('GT',)",80.0,80.0,gas,gas,gas_turbine,1.125,1.125,0.9375,0.9375
17,86.0,86.0,63.0,-79.0,2015-01-14 23:00:00+00:00,2017-07-24 20:00:00+00:00,79.0,2017-07-24 20:00:00+00:00,"('GT',)",80.0,80.0,gas,gas,gas_turbine,0.9875,0.9875,0.9186046511627907,0.9186046511627907
18,97.0,97.0,85.0,-74.0,2015-01-13 22:00:00+00:00,2015-05-19 02:00:00+00:00,85.0,2015-01-13 22:00:00+00:00,"('GT',)",80.0,80.0,gas,gas,gas_turbine,1.0625,1.0625,0.8762886597938144,0.8762886597938144
19,98.0,98.0,84.0,-75.0,2015-01-13 22:00:00+00:00,2018-07-28 02:00:00+00:00,84.0,2015-01-13 22:00:00+00:00,"('GT',)",80.0,80.0,gas,gas,gas_turbine,1.05,1.05,0.8571428571428571,0.8571428571428571
20,96.0,96.0,77.0,-74.0,2018-11-15 13:00:00+00:00,2016-06-17 05:00:00+00:00,77.0,2018-11-15 13:00:00+00:00,"('GT',)",80.0,80.0,gas,gas,gas_turbine,0.9625,0.9625,0.8020833333333334,0.8020833333333334
21,92.0,92.0,79.0,-71.0,2019-02-13 15:00:00+00:00,2016-09-17 05:00:00+00:00,79.0,2019-02-13 15:00:00+00:00,"('GT',)",80.0,80.0,gas,gas,gas_turbine,0.9875,0.9875,0.8586956521739131,0.8586956521739131
22,92.0,92.0,73.0,-76.0,2018-11-15 13:00:00+00:00,2016-04-18 04:00:00+00:00,76.0,2016-04-18 04:00:00+00:00,"('GT',)",80.0,80.0,gas,gas,gas_turbine,0.95,0.95,0.8260869565217391,0.8260869565217391
23,101.0,101.0,76.0,-84.0,2016-07-03 14:00:00+00:00,2018-11-15 17:00:00+00:00,84.0,2018-11-15 17:00:00+00:00,"('GT',)",80.0,80.0,gas,gas,gas_turbine,1.05,1.05,0.8316831683168316,0.8316831683168316
